date,close
2013-02-08,27783.4792
2013-02-11,27737.5652
2013-02-12,27800.3376
2013-02-13,27839.0995
2013-02-14,27833.2166
2013-02-15,27816.0928
2013-02-19,27971.0608
2013-02-20,27567.7468
2013-02-21,27372.75
2013-02-22,27650.3488
2013-02-25,27141.7911
2013-02-26,27307.1395
2013-02-27,27704.1883
2013-02-28,27696.7879
2013-03-01,27780.4265
2013-03-04,27933.7007
2013-03-05,28218.8791
2013-03-06,28224.9532
2013-03-07,28244.6502
2013-03-08,28391.5401
2013-03-11,28454.4984
2013-03-12,28385.8532
2013-03-13,28477.1377
2013-03-14,28592.6672
2013-03-15,28496.8407
2013-03-18,28334.0744
2013-03-19,28238.3029
2013-03-20,28467.181
2013-03-21,28205.7366
2013-03-22,28368.5295
2013-03-25,28261.0743
2013-03-26,28476.1261
2013-03-27,28501.7278
2013-03-28,28686.1197
2013-04-01,28527.192
2013-04-02,28619.4865
2013-04-03,28308.6196
2013-04-04,28455.0775
2013-04-05,28352.0723
2013-04-08,28563.1738
2013-04-09,28603.9354
2013-04-10,28978.8207
2013-04-11,29153.8051
2013-04-12,29082.2557
2013-04-15,28286.7787
2013-04-16,28732.831
2013-04-17,28347.6345
2013-04-18,28125.2077
2013-04-19,28460.5112
2013-04-22,28555.4065
2013-04-23,28868.5778
2013-04-24,28898.8918
2013-04-25,29088.2944
2013-04-26,28770.9719
2013-04-29,29133.8496
2013-04-30,29252.9161
2013-05-01,28977.3847
2013-05-02,29249.812
2013-05-03,29640.8367
2013-05-06,29714.0682
2013-05-07,29872.199
2013-05-08,30009.1762
2013-05-09,29944.7656
2013-05-10,30172.039
2013-05-13,30164.3972
2013-05-14,30530.176
2013-05-15,30682.2653
2013-05-16,30455.1788
2013-05-17,30782.304
2013-05-20,30768.5623
2013-05-21,30829.2186
2013-05-22,30422.1673
2013-05-23,30325.8366
2013-05-24,30271.7923
2013-05-28,30480.0904
2013-05-29,30193.2913
2013-05-30,30318.1168
2013-05-31,29925.0147
2013-06-03,29966.3454
2013-06-04,29762.1266
2013-06-05,29369.5963
2013-06-06,29691.560699999998
2013-06-07,30022.0214
2013-06-10,30060.1609
2013-06-11,29742.1874
2013-06-12,29471.5707
2013-06-13,29973.4805
2013-06-14,29861.9432
2013-06-17,30097.1083
2013-06-18,30346.5266
2013-06-19,29997.6417
2013-06-20,29207.0426
2013-06-21,29267.8536
2013-06-24,28973.7982
2013-06-25,29259.9882
2013-06-26,29529.1807
2013-06-27,29803.9891
2013-06-28,29693.7514
2013-07-01,29884.7967
2013-07-02,29838.8138
2013-07-03,29855.4073
2013-07-05,30173.4134
2013-07-08,30323.7242
2013-07-09,30541.8241
2013-07-10,30588.3582
2013-07-11,31022.0053
2013-07-12,31150.4657
2013-07-15,31144.8926
2013-07-16,30965.871
2013-07-17,31073.682
2013-07-18,31253.9296
2013-07-19,31377.6153
2013-07-22,31442.3942
2013-07-23,31353.7533
2013-07-24,31176.5382
2013-07-25,31302.7293
2013-07-26,31309.1939
2013-07-29,31172.3192
2013-07-30,31240.2517
2013-07-31,31278.3566
2013-08-01,31771.6358
2013-08-02,31792.3067
2013-08-05,31775.2432
2013-08-06,31576.154
2013-08-07,31405.3187
2013-08-08,31550.2364
2013-08-09,31546.3565
2013-08-12,31465.0049
2013-08-13,31509.1383
2013-08-14,31291.4557
2013-08-15,30836.3842
2013-08-16,30724.2866
2013-08-19,30539.6704
2013-08-20,30770.5702
2013-08-21,30609.3262
2013-08-22,30937.8371
2013-08-23,31016.2702
2013-08-26,30941.4028
2013-08-27,30420.2453
2013-08-28,30481.8178
2013-08-29,30585.2582
2013-08-30,30455.5426
2013-09-03,30614.6316
2013-09-04,30891.7615
2013-09-05,30922.2245
2013-09-06,30940.1193
2013-09-09,31152.4784
2013-09-10,31405.7218
2013-09-11,31535.914
2013-09-12,31554.1001
2013-09-13,31653.1576
2013-09-16,31860.9406
2013-09-17,31997.4982
2013-09-18,32426.254
2013-09-19,32396.2869
2013-09-20,32152.9558
2013-09-23,31978.2873
2013-09-24,31958.7828
2013-09-25,31892.7099
2013-09-26,32062.8749
2013-09-27,31943.9607
2013-09-30,31842.3507
2013-10-01,32144.8276
2013-10-02,32127.0676
2013-10-03,31803.6361
2013-10-04,32071.8337
2013-10-07,31763.3456
2013-10-08,31297.3272
2013-10-09,31267.282
2013-10-10,31961.7688
2013-10-11,32171.1448
2013-10-14,32267.7343
2013-10-15,32019.4462
2013-10-16,32498.0804
2013-10-17,32749.1259
2013-10-18,33064.136
2013-10-21,33062.537
2013-10-22,33271.3949
2013-10-23,33128.717
2013-10-24,33251.7223
2013-10-25,33423.1732
2013-10-28,33376.7969
2013-10-29,33572.3516
2013-10-30,33342.8646
2013-10-31,33253.2712
2013-11-01,33343.9634
2013-11-04,33516.1919
2013-11-05,33420.7717
2013-11-06,33457.283
2013-11-07,32926.4773
2013-11-08,33368.5657
2013-11-11,33440.7893
2013-11-12,33382.3224
2013-11-13,33679.9769
2013-11-14,33893.8517
2013-11-15,34025.0787
2013-11-18,33864.7693
2013-11-19,33718.710100000004
2013-11-20,33615.2226
2013-11-21,33943.3749
2013-11-22,34127.6877
2013-11-25,34078.5065
2013-11-26,34124.2496
2013-11-27,34187.272
2013-11-29,34120.6703
2013-12-02,34026.8665
2013-12-03,33868.5318
2013-12-04,33800.554000000004
2013-12-05,33716.830500000004
2013-12-06,34051.9689
2013-12-09,34080.2952
2013-12-10,34034.8427
2013-12-11,33592.7634
2013-12-12,33530.602
2013-12-13,33576.7221
2013-12-16,33777.6928
2013-12-17,33697.6221
2013-12-18,34265.3574
2013-12-19,34185.5313
2013-12-20,34468.0163
2013-12-23,34597.2912
2013-12-24,34687.1072
2013-12-26,34822.2866
2013-12-27,34776.2957
2013-12-30,34788.7895
2013-12-31,34923.7103
2014-01-02,34587.9814
2014-01-03,34615.1485
2014-01-06,34497.0348
2014-01-07,34779.0651
2014-01-08,34828.1713
2014-01-09,34895.8733
2014-01-10,35049.6892
2014-01-13,34545.0303
2014-01-14,35013.7231
2014-01-15,35130.4044
2014-01-16,35121.8031
2014-01-17,35061.1418
2014-01-21,35200.1674
2014-01-22,35285.7553
2014-01-23,34958.2088
2014-01-24,34117.9726
2014-01-27,33914.6064
2014-01-28,34276.7366
2014-01-29,33940.2798
2014-01-30,34420.4259
2014-01-31,34288.5165
2014-02-03,33394.6161
2014-02-04,33713.2173
2014-02-05,33655.709
2014-02-06,34155.3664
2014-02-07,34686.4293
2014-02-10,34744.538
2014-02-11,35080.3517
2014-02-12,35144.8813
2014-02-13,35401.9296
2014-02-14,35535.0755
2014-02-18,35691.7614
2014-02-19,35483.7264
2014-02-20,35734.6119
2014-02-21,35768.2534
2014-02-24,35997.2254
2014-02-25,35996.0618
2014-02-26,36019.4195
2014-02-27,36173.9743
2014-02-28,36251.2454
2014-03-03,36017.2568
2014-03-04,36593.0196
2014-03-05,36547.9733
2014-03-06,36589.9002
2014-03-07,36595.7033
2014-03-10,36508.3753
2014-03-11,36309.4053
2014-03-12,36356.0183
2014-03-13,35862.3501
2014-03-14,35819.227
2014-03-17,36125.8131
2014-03-18,36403.2825
2014-03-19,36132.5548
2014-03-20,36281.0989
2014-03-21,36100.4015
2014-03-24,35750.9237
2014-03-25,35820.5123
2014-03-26,35470.844900000004
2014-03-27,35977.6512
2014-03-28,36167.1789
2014-03-31,36499.9265
2014-04-01,36880.1727
2014-04-02,36998.4074
2014-04-03,36878.0799
2014-04-04,36257.8899
2014-04-07,35760.1177
2014-04-08,35981.2892
2014-04-09,36451.3613
2014-04-10,35567.1313
2014-04-11,35172.1902
2014-04-14,35443.4373
2014-04-15,35671.5777
2014-04-16,36154.703
2014-04-17,36133.3963
2014-04-21,36237.2052
2014-04-22,36428.5198
2014-04-23,36343.2571
2014-04-24,36334.517
2014-04-25,35873.8258
2014-04-28,35821.4923
2014-04-29,36068.7867
2014-04-30,36227.8466
2014-05-01,36294.4997
2014-05-02,36300.7657
2014-05-05,36413.8928
2014-05-06,36071.9199
2014-05-07,36210.4453
2014-05-08,36111.0511
2014-05-09,36235.155
2014-05-12,36697.1962
2014-05-13,36646.9492
2014-05-14,36432.2967
2014-05-15,36095.8502
2014-05-16,36263.5539
2014-05-19,36434.6782
2014-05-20,36154.8408
2014-05-21,36462.032400000004
2014-05-22,36625.7177
2014-05-23,36831.1895
2014-05-27,37121.8467
2014-05-28,37080.0673
2014-05-29,37296.5114
2014-05-30,37332.4512
2014-06-02,37394.9619
2014-06-03,37352.6177
2014-06-04,37451.5189
2014-06-05,37693.5802
2014-06-06,37886.912
2014-06-09,37886.9328
2014-06-10,37644.9236
2014-06-11,37733.8632
2014-06-12,37426.1659
2014-06-13,37505.5812
2014-06-16,37523.2394
2014-06-17,37601.0509
2014-06-18,37917.044499999996
2014-06-19,37969.452
2014-06-20,38081.8689
2014-06-23,38056.4652
2014-06-24,37828.2105
2014-06-25,38031.8057
2014-06-26,37975.6197
2014-06-27,38060.9494
2014-06-30,38087.3109
